t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
5.149999999999987,39.923620473076994,80,11.241195217370622,,0.6388989415103044,0,4.519488610345425,0,2.487271500505332,1,,,,0,0,0,0,0,0,0
5.166666666666654,40.110973726699854,80,11.246898912083566,,0.8755388117810365,0,4.52077186,0,2.487827137,1,,,,0,0,0,0,0,0,0
5.183333333,40.29842204190123,80,11.252771794352581,,1.1122458728528033,0,4.522152158404501,0,2.4883664680409088,1,,,,0,0,0,0,0,0,0
5.199999999999987,40.48596823847379,80,11.258806257290923,,1.3490252061737835,0,4.523627486866568,0,2.488888903867212,1,,,,0,0,0,0,0,0,0
5.2166666666666535,40.67361500942866,80,11.264994433503182,,1.585881787512398,0,4.525195803431465,0,2.489393812519872,1,,,,0,0,0,0,0,0,0
5.233333333,40.86136491665371,80,11.271328415350984,,1.8228204857143255,0,4.526855063088964,0,2.489880559078433,1,,,,0,0,0,0,0,0,0
5.249999999999987,41.04922039024291,80,11.277800253013524,,2.059846063,0,4.528603217262405,0,2.490348505257453,1,,,,0,0,0,0,0,0,0
5.266666666666653,41.23718372779314,80,11.28440195264744,,2.296963172521671,0,4.5304382131983125,0,2.4907970093871104,1,,,,0,0,0,0,0,0,0
5.283333333,41.42525709367061,80,11.291125474647416,,2.534176362657109,0,4.532357993375865,0,2.4912254264004803,1,,,,0,0,0,0,0,0,0
5.2999999999999865,41.613442518248064,80,11.297962732009047,,2.7714900722475857,0,4.5343604949363865,0,2.491633107827601,1,,,,0,0,0,0,0,0,0
5.316666666666653,41.80174189711488,80,11.304905588795576,,3.0089086325745846,0,4.536443649133008,0,2.492019401796413,1,,,,0,0,0,0,0,0,0
5.333333333,41.99015699026148,80,11.31194586,,3.2464362666002566,0,4.538605380800694,0,2.4923836530406978,1,,,,0,0,0,0,0,0,0
5.349999999999986,42.178689421239994,80,11.319075303775806,,3.484077088631366,0,4.540843607846835,0,2.4927252029151155,1,,,,0,0,0,0,0,0,0
5.366666666666653,42.367340676302945,80,11.326285633123936,,3.7218351039565625,0,4.543156240762637,0,2.493043389417452,1,,,,0,0,0,0,0,0,0
5.3833333333333195,42.556112103521684,80,11.333568501895034,,3.959714208458071,0,4.545541182155557,0,2.4933375472181956,1,,,,0,0,0,0,0,0,0
5.399999999999986,42.74500491188661,80,11.340915510252005,,4.197718188198901,0,4.547996326303053,0,2.4936070076975496,1,,,,0,0,0,0,0,0,0
5.416666666666653,42.934020170390795,80,11.348318202509132,,4.435850718986685,0,4.550519559,0,2.4938510989899987,1,,,,0,0,0,0,0,0,0
5.433333333333319,43.12315880709929,80,11.355768066378628,,4.6741153659152905,0,4.553108755795588,0,2.4940691460365474,1,,,,0,0,0,0,0,0,0
5.449999999999986,43.312421608205625,80,11.363256532336958,,4.912515582885337,0,4.555761784333489,0,2.4942604706447375,1,,,,0,0,0,0,0,0,0
5.466666666666653,43.50180921707789,80,11.370774973113289,,5.1510547121047905,0,4.558476501273184,0,2.494424391556571,1,,,,0,0,0,0,0,0,0
5.483333333333319,43.69132213329647,80,11.37831470330232,,5.389735983570816,0,4.561250753,0,2.494560224524442,1,,,,0,0,0,0,0,0,0
5.499999999999986,43.88096071168485,80,11.385866979103904,,5.628562514534083,0,4.564082376617384,0,2.494667282395197,1,,,,0,0,0,0,0,0,0
5.516666666666652,44.070725161336554,80,11.393422998191804,,5.867537308946747,0,4.566969196506431,0,2.4947448752024357,1,,,,0,0,0,0,0,0,0
5.533333333333319,44.260615544639734,80,11.40097389971401,,6.106663256895338,0,4.569909027214024,0,2.4947923102671568,1,,,,0,0,0,0,0,0,0
5.549999999999986,44.450631776301634,80,11.408510764427016,,0.062757827,0,4.572899671636956,0,2.494808892306864,1,,,,0,0,0,0,0,0,0
5.566666666666652,44.640773622375434,80,11.416024614966478,,0.30219429374053663,0,4.575938921,0,2.494793923553228,1,,,,0,0,0,0,0,0,0
5.583333333333319,44.83104069929152,80,11.423506416256657,,0.5417898953717571,0,4.5790245552774165,0,2.4947467038784144,1,,,,0,0,0,0,0,0,0
5.599999999999985,45.02143247289581,80,11.430947076061072,,0.7815470604295371,0,4.5821543418065165,0,2.4946665309301683,1,,,,0,0,0,0,0,0,0
5.616666666666652,45.21194825749683,80,11.438337445676673,,1.0214681007267692,0,4.585326036372079,0,2.4945527002757504,1,,,,0,0,0,0,0,0,0
5.633333333333319,45.40258721492478,80,11.445668320773942,,1.2615552105631114,0,4.588537382483657,0,2.4944045055548174,1,,,,0,0,0,0,0,0,0
5.649999999999985,45.59334835360437,80,11.452930442385174,,1.501810466088658,0,4.591786111413245,0,2.4942212386413245,1,,,,0,0,0,0,0,0,0
5.666666666666652,45.78423052764413,80,11.460114498043179,,1.7422358246631828,0,4.595069942138038,0,2.494002189814527,1,,,,0,0,0,0,0,0,0
5.6833333333333185,45.97523243594486,80,11.467211123072612,,1.9828331242123851,0,4.5983865813109635,0,2.4937466479391563,1,,,,0,0,0,0,0,0,0
5.699999999999985,46.166352621329395,80,11.474210902035997,,2.223604082582592,0,4.601733723259383,0,2.493453900654833,1,,,,0,0,0,0,0,0,0
5.716666666666652,46.35758946969668,80,11.481104370336512,,2.464550296895393,0,4.60510905,0,2.4931232345747705,1,,,,0,0,0,0,0,0,0
5.733333333333318,46.54894120920227,80,11.487882015979377,,2.705673242903708,0,4.608510231357274,0,2.4927539354938197,1,,,,0,0,0,0,0,0,0
5.749999999999985,46.74040590946856,80,11.494534281493758,,2.946974274350798,0,4.611934924924976,0,2.492345288605897,1,,,,0,0,0,0,0,0,0
5.7666666666666515,46.93198148082678,80,11.501051566016791,,3.188454622333773,0,4.6153807763059405,0,2.4918965787308247,1,,,,0,0,0,0,0,0,0
